indi test_time age state gender farm trBVs
f11_23054 51.8 78.8 0 F 11 -1.02943407864343
f11_23054 70.8 97.8 0 F 11 -1.02943407864343
f11_23079 155.7 118.1 0 F 11 -0.563780662786897
f11_23079 187.2 149.7 0 F 11 -0.563780662786897
f11_23089 0 99.7 1 F 11 0.234854952938613
f11_23089 51.8 151.5 1 F 11 0.234854952938613
f11_23089 58 157.7 1 F 11 0.234854952938613
f11_23093 181.7 105.3 0 F 11 0.188995038941668
f11_23111 0 24.9 0 F 11 -0.263513435811307
f11_23111 51.8 76.7 1 F 11 -0.263513435811307
f11_23111 103.8 128.7 1 F 11 -0.263513435811307
f11_23111 155.7 180.6 1 F 11 -0.263513435811307
f11_23111 161.4 186.3 1 F 11 -0.263513435811307
f11_23126 0 103 0 F 11 0.052721796349233
f11_23126 51.8 154.8 1 F 11 0.052721796349233
f11_23126 103.8 206.8 1 F 11 0.052721796349233
f11_23126 141.1 244.1 1 F 11 0.052721796349233
f11_23165 0 27 0 F 11 0.0368167870144985
f11_23165 51.8 78.8 0 F 11 0.0368167870144985
f11_23165 75.3 102.3 0 F 11 0.0368167870144985
f11_23189 0 68 0 F 11 -0.649129839273277
f11_23189 51.8 119.8 0 F 11 -0.649129839273277
f11_23189 103.8 171.8 0 F 11 -0.649129839273277
f11_23189 155.7 223.7 0 F 11 -0.649129839273277
f11_23189 159.7 227.7 0 F 11 -0.649129839273277
f11_23199 260 115.9 0 F 11 0.779112203021955
f11_23214 0 141 0 F 11 0.45566906889948
f11_23214 51.8 192.8 0 F 11 0.45566906889948
f11_23214 81.9 222.9 0 F 11 0.45566906889948
f11_23231 0 96 0 F 11 -0.157616754529431
f11_23231 51.8 147.8 0 F 11 -0.157616754529431
f11_23231 103.8 199.8 1 F 11 -0.157616754529431
f11_23231 113.9 209.9 1 F 11 -0.157616754529431
f11_23239 0 41 0 F 11 -0.580101427345286
f11_23239 26.1 67.1 0 F 11 -0.580101427345286
f11_23242 75.6 120.3 0 F 11 -0.470521469944573
f11_23248 0 100 0 F 11 -0.471450869487716
f11_23248 51.8 151.8 0 F 11 -0.471450869487716
f11_23248 74.4 174.4 0 F 11 -0.471450869487716
f11_23249 0 103.2 1 F 11 -0.21303846115536
f11_23249 23.3 126.5 1 F 11 -0.21303846115536
f11_23285 103.8 149.8 0 F 11 0.637094442305195
f11_23285 126.4 172.4 0 F 11 0.637094442305195
f11_23319 80.6 108.7 0 F 11 -0.505066916219362
f11_23323 0 63 0 F 11 -0.753309352566695
f11_23323 51.8 114.8 0 F 11 -0.753309352566695
f11_23323 103.8 166.8 0 F 11 -0.753309352566695
f11_23323 155.7 218.7 0 F 11 -0.753309352566695
f11_23323 171.8 234.8 0 F 11 -0.753309352566695
f11_23329 208 104.8 0 F 11 -0.300928745610739
f11_23329 260 156.8 0 F 11 -0.300928745610739
f11_23366 29.1 123.3 0 F 11 -0.191903077437123
f11_23380 0 141.9 1 F 11 -0.197264981848088
f11_23380 13.9 155.8 1 F 11 -0.197264981848088
f11_23389 0 14.9 0 F 11 -0.107662842734179
f11_23389 51.8 66.7 1 F 11 -0.107662842734179
f11_23389 103.8 118.7 1 F 11 -0.107662842734179
f11_23389 124.3 139.1 1 F 11 -0.107662842734179
f11_23446 0 22.1 0 F 11 -0.582670079786611
f11_23446 51.8 73.8 0 F 11 -0.582670079786611
f11_23446 103.8 125.9 1 F 11 -0.582670079786611
f11_23446 155.7 177.7 1 F 11 -0.582670079786611
f11_23446 208 230 1 F 11 -0.582670079786611
f11_23446 260 282 1 F 11 -0.582670079786611
f11_23452 155.7 105.9 0 F 11 -0.09284851788218
f11_23452 208 158.1 0 F 11 -0.09284851788218
f11_23452 260 210.2 0 F 11 -0.09284851788218
f11_23457 0 63 0 F 11 -0.835937717345668
f11_23457 39.9 102.9 1 F 11 -0.835937717345668
f11_23458 155.7 125.4 0 F 11 0.13851676278801
f11_23458 208 177.6 0 F 11 0.13851676278801
f11_23458 228.5 198.2 0 F 11 0.13851676278801
f11_23462 103.8 138.7 0 F 11 -0.345132703744502
f11_23462 155.7 190.5 0 F 11 -0.345132703744502
f11_23462 166.5 201.4 0 F 11 -0.345132703744502
f11_23477 0 139.6 1 F 11 0.175358887520019
f11_23477 51.8 191.3 1 F 11 0.175358887520019
f11_23477 70.4 210 1 F 11 0.175358887520019
f11_23480 0 143 0 F 11 -0.0924025711509795
f11_23480 18.9 161.9 0 F 11 -0.0924025711509795
f11_23481 0 31 0 F 11 -0.10851595201941
f11_23481 51.8 82.8 1 F 11 -0.10851595201941
f11_23481 103.8 134.8 1 F 11 -0.10851595201941
f11_23481 146.3 177.3 1 F 11 -0.10851595201941
f11_23482 0 24 0 F 11 -0.526094956652837
f11_23482 51.8 75.8 1 F 11 -0.526094956652837
f11_23482 70.6 94.6 1 F 11 -0.526094956652837
f11_23490 0 191 0 F 11 0.280654176847164
f11_23490 17.4 208.4 0 F 11 0.280654176847164
f11_23508 0 9 0 F 11 0.730660111331379
f11_23508 51.8 60.8 1 F 11 0.730660111331379
f11_23508 103.8 112.8 1 F 11 0.730660111331379
f11_23508 111.4 120.4 1 F 11 0.730660111331379
f11_23532 0 35 0 F 11 0.170989700034728
f11_23532 51.8 86.8 0 F 11 0.170989700034728
f11_23532 76.4 111.4 0 F 11 0.170989700034728
f11_23539 51.8 138.1 0 F 11 -0.525902213377459
f11_23539 103.8 190.2 0 F 11 -0.525902213377459
f11_23539 155.7 242 0 F 11 -0.525902213377459
f11_23539 208 294.3 0 F 11 -0.525902213377459
f11_23539 260 346.4 0 F 11 -0.525902213377459
f11_23548 0 43 0 F 11 0.71385445690043
f11_23548 51.8 94.8 0 F 11 0.71385445690043
f11_23548 70.7 113.7 0 F 11 0.71385445690043
f11_23549 260 114 0 F 11 1.14160415607707
f11_23602 0 63 0 F 11 -0.428589463705848
f11_23602 13.6 76.6 0 F 11 -0.428589463705848
f11_23822 0 142 1 F 11 0.433107918703119
f11_23822 23.9 165.9 1 F 11 0.433107918703119
f11_23833 0 25 0 F 11 0.376680884485305
f11_23833 51.8 76.8 0 F 11 0.376680884485305
f11_23833 103.8 128.8 0 F 11 0.376680884485305
f11_23833 155.7 180.7 0 F 11 0.376680884485305
f11_23833 171.6 196.6 0 F 11 0.376680884485305
f11_23837 103.8 111.2 0 F 11 0.375251042286231
f11_23837 121.6 129 0 F 11 0.375251042286231
f11_23849 0 217 0 F 11 -0.722066680154003
f11_23849 51.8 268.8 0 F 11 -0.722066680154003
f11_23849 103.8 320.8 0 F 11 -0.722066680154003
f11_23849 155.7 372.7 0 F 11 -0.722066680154003
f11_23849 208 425 0 F 11 -0.722066680154003
f11_23849 260 477 0 F 11 -0.722066680154003
f11_23854 0 175 0 F 11 0.350175420011395
f11_23854 19.2 194.2 0 F 11 0.350175420011395
f11_23858 51.8 103 0 F 11 0.0894166960412828
f11_23858 103.8 155 0 F 11 0.0894166960412828
f11_23858 107.2 158.4 0 F 11 0.0894166960412828
f11_23891 0 99.3 1 F 11 0.185522213063707
f11_23891 10.4 109.7 1 F 11 0.185522213063707
f11_23907 0 14 0 F 11 -0.65538017739427
f11_23907 51.8 65.8 1 F 11 -0.65538017739427
f11_23907 84.3 98.3 1 F 11 -0.65538017739427
f11_23911 208 138.1 0 F 11 -0.131238556687229
f11_23911 250 180.2 0 F 11 -0.131238556687229
f11_23915 0 50 0 F 11 0.419933438310376
f11_23915 51.8 101.8 0 F 11 0.419933438310376
f11_23915 99.8 149.8 0 F 11 0.419933438310376
f11_23921 0 53 0 F 11 -0.766555653325414
f11_23921 51.8 104.8 0 F 11 -0.766555653325414
f11_23921 103.8 156.8 0 F 11 -0.766555653325414
f11_23921 155.7 208.7 0 F 11 -0.766555653325414
f11_23921 208 261 0 F 11 -0.766555653325414
f11_23921 260 313 0 F 11 -0.766555653325414
f11_23928 0 61.6 1 F 11 0.123220366960343
f11_23928 47.2 108.9 1 F 11 0.123220366960343
f11_23945 0 26 0 F 11 0.38731679792698
f11_23945 51.8 77.8 0 F 11 0.38731679792698
f11_23945 103.8 129.8 0 F 11 0.38731679792698
f11_23945 155.7 181.7 0 F 11 0.38731679792698
f11_23945 208 234 0 F 11 0.38731679792698
f11_23945 260 286 0 F 11 0.38731679792698
f11_23946 0 21 0 F 11 -0.118948861225154
f11_23946 51.8 72.8 0 F 11 -0.118948861225154
f11_23946 103.8 124.8 0 F 11 -0.118948861225154
f11_23946 155.7 176.7 0 F 11 -0.118948861225154
f11_23946 159.6 180.6 0 F 11 -0.118948861225154
f11_23947 51.8 138.3 0 F 11 -0.10199178056503
f11_23947 89.7 176.2 0 F 11 -0.10199178056503
f11_23965 155.7 125.7 0 F 11 0.110960882126454
f11_23965 208 178 0 F 11 0.110960882126454
f11_23965 251.2 221.2 0 F 11 0.110960882126454
f11_23972 208 137 0 F 11 0.296105411953771
f11_23972 248.2 177.2 0 F 11 0.296105411953771
f11_23981 0 147 0 F 11 0.280007208135746
f11_23981 51.8 198.8 0 F 11 0.280007208135746
f11_23981 103.8 250.8 0 F 11 0.280007208135746
f11_23981 155.7 302.7 0 F 11 0.280007208135746
f11_23981 208 355 0 F 11 0.280007208135746
f11_23981 260 407 0 F 11 0.280007208135746
f11_23987 0 245 0 F 11 0.375614454260586
f11_23987 51.8 296.8 0 F 11 0.375614454260586
f11_23987 103.8 348.8 0 F 11 0.375614454260586
f11_23987 117.5 362.5 0 F 11 0.375614454260586
