indi test_time age state gender farm trBVs
f19_22477 38.9 173.9 0 F 19 -0.749685009004385
f19_22477 51.9 186.9 0 F 19 -0.749685009004385
f19_22477 65 200 0 F 19 -0.749685009004385
f19_22477 78 213 0 F 19 -0.749685009004385
f19_22477 79.3 214.3 0 F 19 -0.749685009004385
f19_22487 26 111.9 0 F 19 -0.635676529235682
f19_22487 38.9 124.9 0 F 19 -0.635676529235682
f19_22487 51.9 137.8 0 F 19 -0.635676529235682
f19_22487 65 150.9 0 F 19 -0.635676529235682
f19_22487 78 163.9 0 F 19 -0.635676529235682
f19_22487 83.7 169.7 0 F 19 -0.635676529235682
f19_22494 0 23 0 F 19 -0.631141399280111
f19_22494 12.9 35.9 0 F 19 -0.631141399280111
f19_22494 26 49 0 F 19 -0.631141399280111
f19_22494 38.9 61.9 1 F 19 -0.631141399280111
f19_22494 51.9 74.9 1 F 19 -0.631141399280111
f19_22494 65 88 1 F 19 -0.631141399280111
f19_22494 78 101 1 F 19 -0.631141399280111
f19_22494 90.8 113.8 1 F 19 -0.631141399280111
f19_22494 103.7 126.7 1 F 19 -0.631141399280111
f19_22494 116.9 139.9 1 F 19 -0.631141399280111
f19_22494 130 153 1 F 19 -0.631141399280111
f19_22494 142.9 165.9 1 F 19 -0.631141399280111
f19_22494 156 179 1 F 19 -0.631141399280111
f19_22494 163.8 186.8 1 F 19 -0.631141399280111
f19_22500 0 170.6 1 F 19 0.546922687469256
f19_22500 5.2 175.8 1 F 19 0.546922687469256
f19_22515 0 139 0 F 19 0.238243871448109
f19_22515 12.9 151.9 0 F 19 0.238243871448109
f19_22515 19.3 158.3 0 F 19 0.238243871448109
f19_22516 0 115.8 1 F 19 -0.486256026988468
f19_22516 12.9 128.7 1 F 19 -0.486256026988468
f19_22516 26 141.8 1 F 19 -0.486256026988468
f19_22516 32.7 148.5 1 F 19 -0.486256026988468
f19_22537 0 7 0 F 19 1.04144995734615
f19_22537 12.9 19.9 0 F 19 1.04144995734615
f19_22537 26 33 0 F 19 1.04144995734615
f19_22537 38.9 45.9 1 F 19 1.04144995734615
f19_22537 51.9 58.9 1 F 19 1.04144995734615
f19_22537 65 72 1 F 19 1.04144995734615
f19_22537 78 85 1 F 19 1.04144995734615
f19_22537 90.8 97.8 1 F 19 1.04144995734615
f19_22537 103.7 110.7 1 F 19 1.04144995734615
f19_22537 116.9 123.9 1 F 19 1.04144995734615
f19_22537 130 137 1 F 19 1.04144995734615
f19_22537 142.9 149.9 1 F 19 1.04144995734615
f19_22537 156 163 1 F 19 1.04144995734615
f19_22537 168.9 175.9 1 F 19 1.04144995734615
f19_22537 181.9 188.9 1 F 19 1.04144995734615
f19_22537 194.6 201.6 1 F 19 1.04144995734615
f19_22537 203.7 210.7 1 F 19 1.04144995734615
f19_22559 0 124 0 F 19 0.691976529091431
f19_22559 12.9 136.9 0 F 19 0.691976529091431
f19_22559 26 150 0 F 19 0.691976529091431
f19_22559 36.9 160.9 0 F 19 0.691976529091431
f19_22561 0 106 0 F 19 -0.234982663293607
f19_22561 12.9 118.9 0 F 19 -0.234982663293607
f19_22561 26 132 0 F 19 -0.234982663293607
f19_22561 38.9 144.9 0 F 19 -0.234982663293607
f19_22561 51.9 157.9 0 F 19 -0.234982663293607
f19_22561 65 171 0 F 19 -0.234982663293607
f19_22561 78 184 0 F 19 -0.234982663293607
f19_22561 90.8 196.8 0 F 19 -0.234982663293607
f19_22561 103.7 209.7 0 F 19 -0.234982663293607
f19_22561 116.9 222.9 0 F 19 -0.234982663293607
f19_22561 130 236 0 F 19 -0.234982663293607
f19_22561 142.9 248.9 0 F 19 -0.234982663293607
f19_22561 156 262 0 F 19 -0.234982663293607
f19_22561 168.9 274.9 0 F 19 -0.234982663293607
f19_22561 181.9 287.9 0 F 19 -0.234982663293607
f19_22561 194.6 300.6 0 F 19 -0.234982663293607
f19_22561 208 314 0 F 19 -0.234982663293607
f19_22561 220.9 326.9 0 F 19 -0.234982663293607
f19_22561 234 340 0 F 19 -0.234982663293607
f19_22561 246.9 352.9 0 F 19 -0.234982663293607
f19_22561 259.7 365.7 0 F 19 -0.234982663293607
f19_22601 12.9 100.8 0 F 19 0.221992336813218
f19_22601 26 113.9 0 F 19 0.221992336813218
f19_22601 38.9 126.8 0 F 19 0.221992336813218
f19_22601 51.9 139.8 0 F 19 0.221992336813218
f19_22601 65 152.9 0 F 19 0.221992336813218
f19_22601 78 165.9 0 F 19 0.221992336813218
f19_22601 90.8 178.7 0 F 19 0.221992336813218
f19_22601 103.7 191.7 0 F 19 0.221992336813218
f19_22601 111 198.9 0 F 19 0.221992336813218
f19_22612 0 135 0 F 19 0.250040188341913
f19_22612 12.9 147.9 0 F 19 0.250040188341913
f19_22612 26 161 0 F 19 0.250040188341913
f19_22612 38.9 173.9 0 F 19 0.250040188341913
f19_22612 51.9 186.9 0 F 19 0.250040188341913
f19_22612 65 200 0 F 19 0.250040188341913
f19_22612 78 213 0 F 19 0.250040188341913
f19_22612 90.8 225.8 0 F 19 0.250040188341913
f19_22612 103.7 238.7 0 F 19 0.250040188341913
f19_22612 116.9 251.9 0 F 19 0.250040188341913
f19_22612 130 265 0 F 19 0.250040188341913
f19_22612 142.9 277.9 0 F 19 0.250040188341913
f19_22612 156 291 0 F 19 0.250040188341913
f19_22612 168.9 303.9 0 F 19 0.250040188341913
f19_22612 170 305 0 F 19 0.250040188341913
f19_22622 38.9 109.2 0 F 19 1.33051871567824
f19_22622 51.9 122.2 0 F 19 1.33051871567824
f19_22622 65 135.3 0 F 19 1.33051871567824
f19_22622 78 148.2 0 F 19 1.33051871567824
f19_22622 90.8 161.1 0 F 19 1.33051871567824
f19_22622 103.7 174 0 F 19 1.33051871567824
f19_22622 110.2 180.5 0 F 19 1.33051871567824
f19_22633 0 60 0 F 19 -0.469810689882897
f19_22633 12.9 72.9 0 F 19 -0.469810689882897
f19_22633 26 86 0 F 19 -0.469810689882897
f19_22633 38.9 98.9 1 F 19 -0.469810689882897
f19_22633 51.9 111.9 1 F 19 -0.469810689882897
f19_22633 65 125 1 F 19 -0.469810689882897
f19_22633 78 138 1 F 19 -0.469810689882897
f19_22633 90.8 150.8 1 F 19 -0.469810689882897
f19_22633 103.7 163.7 1 F 19 -0.469810689882897
f19_22633 116.9 176.9 1 F 19 -0.469810689882897
f19_22633 130 190 1 F 19 -0.469810689882897
f19_22633 142.9 202.9 1 F 19 -0.469810689882897
f19_22633 156 216 1 F 19 -0.469810689882897
f19_22633 168.9 228.9 1 F 19 -0.469810689882897
f19_22633 181.9 241.9 1 F 19 -0.469810689882897
f19_22633 194.6 254.6 1 F 19 -0.469810689882897
f19_22633 208 268 1 F 19 -0.469810689882897
f19_22633 220.9 280.9 1 F 19 -0.469810689882897
f19_22633 222.4 282.4 1 F 19 -0.469810689882897
f19_22638 0 147 0 F 19 0.550081130253956
f19_22638 12.9 159.9 1 F 19 0.550081130253956
f19_22638 26 173 1 F 19 0.550081130253956
f19_22638 38.9 185.9 1 F 19 0.550081130253956
f19_22638 51.9 198.9 1 F 19 0.550081130253956
f19_22638 54.9 201.9 1 F 19 0.550081130253956
f19_22651 259.7 101.1 0 F 19 0.106949494534254
f19_22654 259.7 112.3 0 F 19 0.462576117182208
f19_22682 0 103 0 F 19 0.658381783969086
f19_22682 12.9 115.9 0 F 19 0.658381783969086
f19_22682 26 129 0 F 19 0.658381783969086
f19_22682 38.9 141.9 0 F 19 0.658381783969086
f19_22682 51.9 154.9 0 F 19 0.658381783969086
f19_22682 65 168 0 F 19 0.658381783969086
f19_22682 67.5 170.5 0 F 19 0.658381783969086
f19_22683 0 9.9 1 F 19 -0.595124606033924
f19_22683 12.9 22.9 1 F 19 -0.595124606033924
f19_22683 26 35.9 0 F 19 -0.595124606033924
f19_22683 38.9 48.9 0 F 19 -0.595124606033924
f19_22683 51.9 61.8 0 F 19 -0.595124606033924
f19_22683 65 74.9 0 F 19 -0.595124606033924
f19_22683 78 87.9 0 F 19 -0.595124606033924
f19_22683 90.8 100.7 0 F 19 -0.595124606033924
f19_22683 103.7 113.7 0 F 19 -0.595124606033924
f19_22683 116.9 126.9 0 F 19 -0.595124606033924
f19_22683 130 139.9 1 F 19 -0.595124606033924
f19_22683 142.9 152.9 1 F 19 -0.595124606033924
f19_22683 148.6 158.6 1 F 19 -0.595124606033924
f19_22687 0 14 0 F 19 0.2296622490847
f19_22687 12.9 26.9 0 F 19 0.2296622490847
f19_22687 26 40 0 F 19 0.2296622490847
f19_22687 38.9 52.9 0 F 19 0.2296622490847
f19_22687 51.9 65.9 0 F 19 0.2296622490847
f19_22687 65 79 1 F 19 0.2296622490847
f19_22687 78 92 1 F 19 0.2296622490847
f19_22687 80.7 94.7 1 F 19 0.2296622490847
f19_22703 208 106.2 0 F 19 -0.157268876376844
f19_22703 220.9 119.1 0 F 19 -0.157268876376844
f19_22703 234 132.2 0 F 19 -0.157268876376844
f19_22703 246.9 145.2 0 F 19 -0.157268876376844
f19_22703 259.7 158 0 F 19 -0.157268876376844
f19_22727 259.7 105.7 0 F 19 -0.316013581316858
f19_22728 103.7 111.8 0 F 19 -0.498707914666314
f19_22728 114.4 122.5 0 F 19 -0.498707914666314
f19_22741 12.9 100.7 0 F 19 -0.769348164119214
f19_22741 26 113.7 0 F 19 -0.769348164119214
f19_22741 38.9 126.7 0 F 19 -0.769348164119214
f19_22741 51.9 139.7 0 F 19 -0.769348164119214
f19_22741 65 152.7 0 F 19 -0.769348164119214
f19_22741 78 165.7 0 F 19 -0.769348164119214
f19_22741 90.8 178.5 0 F 19 -0.769348164119214
f19_22741 103.7 191.5 0 F 19 -0.769348164119214
